name,department,price,user_email,purchase_date
Enormous Marble Table,Clothing,62.37,domenico@yahoo.com,2015-12-24
Gorgeous Plastic Pants,"Baby, Toys & Automotive",76.41,dalton@hotmail.com,2015-12-17
Durable Iron Wallet,Movies & Toys,65.12,cory@yahoo.com,2016-01-10
Practical Aluminum Car,Electronics,53.51,scotty_crooks@hotmail.com,2015-12-15
Rustic Concrete Wallet,Electronics & Health,74.16,cody@gmail.com,2015-12-19
Heavy Duty Wooden Plate,Shoes,51.15,jeffery_boyer@hotmail.com,2015-12-17
Gorgeous Silk Knife,Grocery,44.39,baron_ortiz@gmail.com,2015-12-21
Small Copper Computer,Shoes & Movies,42.17,trinity@hotmail.com,2015-12-23
Incredible Wool Watch,Automotive,74.01,shayne@yahoo.com,2016-01-11
Fantastic Wooden Hat,"Toys, Jewelery & Beauty",56.05,clare@hotmail.com,2015-12-17
Awesome Marble Watch,Sports & Grocery,21.62,armand_rath@hotmail.com,2015-12-27
Sleek Concrete Clock,Toys,72.39,ernestina@gmail.com,2015-12-29
Gorgeous Cotton Knife,Shoes,92.49,lela.kohler@hotmail.com,2016-01-09
Durable Concrete Keyboard,Grocery & Home,81.69,andrew_rutherford@hotmail.com,2015-12-17
Aerodynamic Silk Gloves,"Movies, Electronics & Outdoors",82.45,jeffery_hegmann@hotmail.com,2015-12-31
Synergistic Concrete Lamp,Automotive,94.21,columbus@yahoo.com,2015-12-13
Awesome Steel Clock,Computers & Jewelery,72.69,lauretta_wolf@gmail.com,2016-01-03
Durable Linen Hat,Grocery & Sports,29.7,keshaun.von@hotmail.com,2015-12-18
Mediocre Steel Computer,Tools,76.11,lera.homenick@yahoo.com,2015-12-29
Heavy Duty Concrete Gloves,"Beauty, Garden & Health",40.06,leta.fay@yahoo.com,2015-12-22
Mediocre Bronze Bench,Music,77.46,kian@yahoo.com,2015-12-30
Small Silk Pants,"Outdoors, Beauty & Tools",46.96,coralie@gmail.com,2015-12-15
Awesome Paper Hat,Computers,65.14,megane.orn@yahoo.com,2016-01-02
Intelligent Silk Table,"Shoes, Beauty & Computers",82.39,christian@hotmail.com,2015-12-14
Fantastic Bronze Bottle,Jewelery & Books,78.24,emmanuel@yahoo.com,2016-01-05
Durable Leather Watch,Baby & Garden,51.19,waylon.collier@yahoo.com,2015-12-29
Heavy Duty Marble Lamp,Kids,47.4,jacinto.kihn@hotmail.com,2015-12-23
Aerodynamic Bronze Plate,Baby & Kids,86.17,melyna@yahoo.com,2016-01-05
Enormous Plastic Hat,Computers,21.2,amelia_bruen@gmail.com,2015-12-16
Fantastic Bronze Watch,Movies,43.58,keira@gmail.com,2015-12-22
Fantastic Leather Clock,Baby & Kids,38.53,gregory.king@gmail.com,2015-12-31
Sleek Iron Knife,"Grocery, Clothing & Movies",6.42,felix@yahoo.com,2016-01-10
Lightweight Concrete Clock,"Kids, Sports & Baby",50.02,kailey.buckridge@gmail.com,2015-12-24
Rustic Plastic Chair,"Home, Industrial & Health",61.37,wilma_rogahn@gmail.com,2015-12-25
Heavy Duty Wool Lamp,Garden,41.26,fredy.gottlieb@hotmail.com,2016-01-11
Small Aluminum Bottle,Computers,48.91,rogers@gmail.com,2015-12-23
Rustic Steel Knife,Sports,95.3,randal_morar@yahoo.com,2016-01-05
Sleek Rubber Hat,"Toys, Outdoors & Sports",37.71,lizzie.bahringer@hotmail.com,2015-12-20
Sleek Leather Bottle,Home,28.98,manley_lynch@yahoo.com,2016-01-02
Awesome Silk Coat,Movies & Automotive,10.41,obie@gmail.com,2015-12-30
Small Paper Bottle,Kids,23.46,frederik_oconner@hotmail.com,2015-12-12
Mediocre Plastic Clock,Kids & Toys,88.45,saul@gmail.com,2016-01-01
Incredible Bronze Shoes,"Automotive, Baby & Clothing",68.51,luella@hotmail.com,2015-12-25
Small Bronze Car,"Kids, Health & Automotive",68.06,rowan_luettgen@yahoo.com,2015-12-15
Ergonomic Linen Clock,Kids,20.85,saul@yahoo.com,2015-12-12
Awesome Marble Computer,"Books, Electronics & Computers",99.81,kathleen.bode@yahoo.com,2015-12-14
Durable Wool Lamp,Home,2.86,lela.fay@yahoo.com,2015-12-15
Lightweight Copper Clock,"Music, Books & Sports",62.9,leon@hotmail.com,2016-01-01
Aerodynamic Rubber Shoes,"Garden, Home & Games",50.99,damon@gmail.com,2015-12-12
Enormous Granite Chair,Books,54.26,roberto.marks@yahoo.com,2015-12-25
Durable Linen Hat,Kids & Tools,40.62,landen.schmitt@hotmail.com,2015-12-28
Rustic Aluminum Watch,Clothing,88.39,jey_tromp@gmail.com,2015-12-15
Small Linen Table,Electronics & Baby,33.8,santino_haag@yahoo.com,2015-12-13
Durable Plastic Knife,Toys & Automotive,49.25,heloise@hotmail.com,2015-12-21
Rustic Bronze Keyboard,Toys & Kids,34.16,kasey_weinat@hotmail.com,2016-01-09
Ergonomic Granite Knife,"Garden, Games & Baby",94.8,jerald_price@yahoo.com,2016-01-04
Gorgeous Paper Computer,Tools,6.8,amelia_bayer@yahoo.com,2016-01-06
Awesome Wool Knife,"Shoes, Computers & Toys",97.97,dexter_dubuque@gmail.com,2016-01-09
Mediocre Bronze Bench,"Garden, Games & Music",74.72,hardy_padberg@hotmail.com,2015-12-12
Aerodynamic Iron Clock,Kids,29.23,deshawn_reilly@hotmail.com,2015-12-24
Incredible Wool Wallet,"Kids, Books & Clothing",17.66,oran@yahoo.com,2015-12-22
Rustic Concrete Clock,"Beauty, Automotive & Baby",66.2,jonas@hotmail.com,2016-01-10
Gorgeous Linen Shirt,Shoes & Clothing,25.52,julianne@yahoo.com,2015-12-21
Enormous Paper Chair,Garden,41.54,ben@yahoo.com,2016-01-03
Fantastic Linen Hat,Books,35.8,murphy_jacobs@hotmail.com,2016-01-03
Gorgeous Paper Coat,Electronics,4.99,mackenzie.hodkiewicz@hotmail.com,2016-01-08
Gorgeous Copper Wallet,"Beauty, Movies & Garden",93.84,mathilde@hotmail.com,2015-12-26
Awesome Aluminum Keyboard,Books & Shoes,61.58,brandy@yahoo.com,2015-12-26
Small Silk Bag,Automotive & Home,63.9,jedidiah.kihn@gmail.com,2015-12-13
Mediocre Wooden Table,"Music, Sports & Books",84.74,raphaelle@hotmail.com,2015-12-19
Ergonomic Bronze Watch,Jewelery & Electronics,21.55,sallie@gmail.com,2015-12-13
Ergonomic Concrete Table,Toys & Tools,74.13,ola.dietrich@yahoo.com,2015-12-23
Practical Iron Clock,Music & Kids,48.8,clifford@hotmail.com,2016-01-07
Enormous Steel Knife,Movies & Beauty,98.58,maribel_lind@gmail.com,2015-12-24
Mediocre Steel Clock,Electronics & Computers,58.57,destany@gmail.com,2016-01-04
Durable Wooden Plate,Electronics,70.11,guy.medhurst@hotmail.com,2015-12-12
Heavy Duty Concrete Coat,"Movies, Garden & Books",98.8,janae@hotmail.com,2015-12-30
Heavy Duty Steel Bottle,Beauty & Baby,84.62,vita@yahoo.com,2015-12-21
Gorgeous Wooden Pants,Electronics & Computers,28.87,adella@gmail.com,2015-12-30
Enormous Linen Chair,Home,16.69,manuel@hotmail.com,2015-12-24
Incredible Wooden Hat,Jewelery & Music,63.54,alvina@gmail.com,2015-12-18
Incredible Wool Watch,"Tools, Home & Computers",17.79,sheila@yahoo.com,2016-01-04
Sleek Marble Lamp,"Games, Sports & Baby",5.39,alexandra.lindgren@yahoo.com,2015-12-26
Small Wooden Knife,Jewelery,76.08,allen.langworth@hotmail.com,2016-01-02
Small Iron Bag,Garden & Sports,79.81,dawson@hotmail.com,2016-01-04
Enormous Marble Computer,"Sports, Industrial & Electronics",46.57,shanelle@gmail.com,2015-12-16
Synergistic Steel Computer,Tools & Health,50.6,jane@yahoo.com,2015-12-15
Heavy Duty Bronze Computer,Electronics,14.34,matteo_borer@hotmail.com,2015-12-28
Awesome Leather Bench,Shoes & Computers,55.74,halle_wyman@hotmail.com,2016-01-02
Gorgeous Concrete Shirt,Shoes,85.32,ladarius@hotmail.com,2015-12-17
Rustic Rubber Computer,"Electronics, Industrial & Shoes",24.7,alva@gmail.com,2015-12-12
Small Paper Watch,Outdoors,19.21,ebony.klocko@yahoo.com,2015-12-25
Heavy Duty Cotton Lamp,Home,66.07,leann_klocko@gmail.com,2015-12-12
Incredible Granite Pants,Outdoors & Health,62.13,dolly_olson@hotmail.com,2016-01-01
Enormous Silk Watch,Games & Outdoors,76.77,justine@hotmail.com,2016-01-10
Mediocre Cotton Bottle,Baby & Grocery,32.11,estevan_von@gmail.com,2016-01-04
Aerodynamic Linen Bag,Games & Shoes,71.22,juliet.johnson@gmail.com,2015-12-12
Enormous Linen Gloves,"Kids, Industrial & Shoes",99.83,will_brown@yahoo.com,2015-12-18
Rustic Copper Plate,Garden & Shoes,59.01,garland_mohr@gmail.com,2015-12-31
Awesome Marble Knife,Health & Garden,31.47,ward@hotmail.com,2015-12-21
Fantastic Paper Car,Shoes,85.45,loma.schinner@hotmail.com,2015-12-25
Mediocre Leather Wallet,"Electronics, Clothing & Industrial",35.64,shania.kovacek@hotmail.com,2015-12-22
Lightweight Wooden Coat,"Toys, Industrial & Beauty",12.33,matilde.steuber@hotmail.com,2016-01-10
Aerodynamic Marble Pants,Books,95.75,everette@yahoo.com,2015-12-19
Gorgeous Granite Clock,Movies,83.9,javonte.howell@hotmail.com,2015-12-12
Lightweight Silk Clock,Toys,57.45,christopher.dubuque@yahoo.com,2015-12-30
Incredible Granite Car,Outdoors & Baby,96.38,palma_cremin@hotmail.com,2016-01-08
Heavy Duty Wooden Pants,Kids,74.91,shawna@gmail.com,2016-01-10
Synergistic Linen Watch,Electronics,96.64,kenya.friesen@gmail.com,2016-01-01
Enormous Paper Table,Games,1.69,garland@gmail.com,2015-12-13
Rustic Leather Chair,"Games, Movies & Toys",4.78,ron_legros@yahoo.com,2015-12-28
Durable Marble Knife,Electronics,40.1,janie@gmail.com,2016-01-11
Gorgeous Linen Shirt,"Toys, Games & Sports",67.22,julianne@hotmail.com,2016-01-09
Durable Wool Lamp,Movies,99.82,jennings@gmail.com,2015-12-21
Small Cotton Shirt,Movies,3.2,marietta@yahoo.com,2015-12-13
Synergistic Paper Lamp,Home,75.04,leilani@gmail.com,2015-12-28
Gorgeous Paper Keyboard,Baby,31.2,holly@hotmail.com,2015-12-24
Sleek Silk Bottle,"Computers, Baby & Kids",55.24,thelma@hotmail.com,2015-12-13
Enormous Linen Gloves,"Games, Grocery & Toys",83.7,kurt_turcotte@hotmail.com,2015-12-19
Small Copper Bench,Computers,50.27,deonte_okon@hotmail.com,2016-01-08
Practical Bronze Pants,Health,34.46,jadon@yahoo.com,2015-12-25
Intelligent Paper Shirt,"Books, Beauty & Outdoors",70.61,noelia_blick@gmail.com,2015-12-25
Sleek Leather Shirt,"Jewelery, Sports & Grocery",73.31,donnell.brekke@yahoo.com,2016-01-03
Sleek Linen Hat,Electronics & Sports,74.39,fermin_metz@hotmail.com,2016-01-02
Rustic Leather Gloves,Computers & Movies,56.52,kian@hotmail.com,2015-12-30
Rustic Silk Hat,"Music, Jewelery & Garden",34.62,adela_emard@yahoo.com,2016-01-05
Synergistic Linen Shirt,Electronics,39.68,germaine_schroeder@hotmail.com,2015-12-15
Awesome Copper Clock,Computers,91.99,nicolas@hotmail.com,2015-12-19
Awesome Marble Computer,"Tools, Grocery & Outdoors",81.55,gay.williamson@gmail.com,2015-12-28
Heavy Duty Iron Car,"Tools, Clothing & Garden",12.93,raina@gmail.com,2015-12-21
Rustic Wooden Computer,Industrial,97.3,anita@gmail.com,2015-12-28
Sleek Marble Bench,"Toys, Computers & Outdoors",99.27,hertha_legros@yahoo.com,2015-12-13
Rustic Marble Watch,"Clothing, Shoes & Automotive",6.52,martine@gmail.com,2015-12-18
Rustic Aluminum Pants,Music,89.0,britney_stiedemann@gmail.com,2015-12-17
Intelligent Steel Watch,Toys,44.38,brock_marks@gmail.com,2015-12-18
Durable Granite Knife,Beauty,98.04,obie.schinner@gmail.com,2015-12-16
Ergonomic Cotton Coat,Shoes & Garden,8.79,antwon@yahoo.com,2015-12-24
Ergonomic Iron Wallet,Industrial,84.95,bartholome_zulauf@yahoo.com,2015-12-30
Small Cotton Clock,"Outdoors, Toys & Books",92.41,kobe@yahoo.com,2015-12-24
Incredible Granite Clock,"Grocery, Electronics & Toys",68.28,elton@gmail.com,2015-12-19
Gorgeous Steel Chair,Clothing,96.92,ethel@gmail.com,2016-01-09
Awesome Iron Knife,Home,74.32,mose@hotmail.com,2015-12-17
Aerodynamic Concrete Clock,Home,75.76,luisa.kerluke@gmail.com,2016-01-03
Gorgeous Leather Shirt,Toys & Baby,57.6,dana@gmail.com,2015-12-30
Rustic Aluminum Bottle,"Tools, Shoes & Automotive",2.26,carmel_ledner@yahoo.com,2016-01-09
Heavy Duty Bronze Chair,Grocery,78.52,margie@hotmail.com,2015-12-12
Sleek Leather Clock,"Garden, Electronics & Books",84.68,alda_bechtelar@yahoo.com,2016-01-05
Lightweight Plastic Wallet,Music,34.77,jackie@gmail.com,2016-01-10
Intelligent Silk Bag,Clothing,34.03,deshaun@gmail.com,2016-01-08
Ergonomic Silk Car,Toys,79.44,tyrese_mayer@hotmail.com,2015-12-22
Lightweight Paper Chair,"Garden, Shoes & Industrial",91.47,rex_sanford@hotmail.com,2015-12-13
Ergonomic Leather Bag,Jewelery & Movies,81.09,florencio@hotmail.com,2015-12-29
Sleek Plastic Shirt,"Grocery, Industrial & Books",42.61,leonor_kuvalis@hotmail.com,2015-12-30
Sleek Bronze Keyboard,"Music, Tools & Computers",41.31,delfina_walker@gmail.com,2016-01-02
Durable Linen Bench,Industrial & Electronics,92.7,hilton@yahoo.com,2016-01-09
Durable Wool Pants,"Sports, Electronics & Toys",92.45,jakob_dietrich@gmail.com,2015-12-14
Fantastic Wool Watch,Outdoors,55.07,evalyn.howe@yahoo.com,2015-12-14
Awesome Steel Keyboard,"Books, Health & Sports",55.48,alfonzo_wisoky@gmail.com,2015-12-26
Incredible Marble Bench,"Tools, Games & Toys",83.39,virginia@gmail.com,2016-01-02
Durable Paper Shirt,Automotive & Clothing,49.95,zoe@gmail.com,2015-12-25
Ergonomic Wooden Watch,"Sports, Kids & Baby",54.26,reginald_gerhold@yahoo.com,2015-12-12
Enormous Linen Plate,Clothing & Movies,40.59,greg@hotmail.com,2015-12-15
Awesome Silk Computer,"Sports, Clothing & Kids",97.56,jerod@gmail.com,2015-12-18
Heavy Duty Wool Bottle,"Books, Movies & Industrial",68.7,wiley.satterfield@gmail.com,2015-12-31
Synergistic Wool Hat,Garden & Tools,84.82,miguel.dare@yahoo.com,2015-12-23
Ergonomic Aluminum Bench,"Beauty, Clothing & Automotive",74.05,brayan@hotmail.com,2015-12-17
Small Wool Knife,Books & Sports,24.51,zechariah.gorczany@gmail.com,2015-12-16
Incredible Iron Hat,"Health, Movies & Books",57.58,gretchen.spencer@gmail.com,2015-12-24
Rustic Aluminum Shirt,"Books, Toys & Baby",1.07,clyde@yahoo.com,2016-01-04
Synergistic Granite Computer,Outdoors & Health,72.17,marques.kreiger@gmail.com,2015-12-30
Awesome Wooden Keyboard,Books,33.63,omari_botsford@gmail.com,2015-12-24
Synergistic Aluminum Keyboard,Books,73.7,marguerite_stehr@gmail.com,2015-12-20
Enormous Plastic Lamp,"Beauty, Baby & Books",60.67,casper.breitenberg@gmail.com,2016-01-08
Mediocre Granite Gloves,"Sports, Garden & Jewelery",71.11,veronica@hotmail.com,2016-01-06
Incredible Marble Shoes,Shoes,46.84,theresia@yahoo.com,2016-01-07
Fantastic Wooden Lamp,Garden,19.23,alisha_volkman@hotmail.com,2016-01-08
Incredible Leather Bottle,Beauty & Games,36.97,alexis.keeling@gmail.com,2015-12-16
Fantastic Iron Gloves,"Automotive, Computers & Movies",75.83,josh@hotmail.com,2015-12-27
Gorgeous Steel Lamp,Health,10.35,cordie.maggio@gmail.com,2015-12-24
Awesome Granite Hat,"Books, Toys & Movies",12.87,alf_green@gmail.com,2016-01-09
Lightweight Iron Bench,Games,92.93,brain@gmail.com,2015-12-26
Intelligent Granite Bag,"Electronics, Sports & Grocery",78.1,lacey@yahoo.com,2016-01-08
Heavy Duty Aluminum Clock,Sports & Baby,54.47,oceane@yahoo.com,2015-12-25
Mediocre Plastic Car,"Clothing, Kids & Games",37.57,dedrick_zulauf@yahoo.com,2015-12-13
Incredible Copper Plate,Games & Beauty,55.34,jamie@gmail.com,2015-12-30
Incredible Silk Car,"Beauty, Health & Sports",99.73,zita@gmail.com,2016-01-11
Awesome Rubber Chair,"Baby, Kids & Jewelery",35.35,ova_witting@hotmail.com,2015-12-13
Incredible Cotton Hat,Beauty & Grocery,20.99,danyka@yahoo.com,2016-01-05
Practical Wooden Knife,Industrial & Movies,35.59,al.spinka@yahoo.com,2015-12-31
Fantastic Wooden Bag,Garden,89.98,elvis@gmail.com,2016-01-06
Enormous Leather Car,"Computers, Clothing & Industrial",42.35,montana.pfannerstill@gmail.com,2016-01-08
Ergonomic Paper Pants,"Industrial, Toys & Grocery",81.91,savannah_ankunding@yahoo.com,2015-12-27
Awesome Aluminum Keyboard,Beauty & Home,11.97,domenica.langworth@yahoo.com,2015-12-24
Sleek Bronze Gloves,"Grocery, Kids & Tools",69.18,corine.mueller@hotmail.com,2016-01-11
Ergonomic Rubber Pants,"Games, Industrial & Grocery",20.78,julien.cummerata@yahoo.com,2016-01-06
Practical Wooden Wallet,Toys & Grocery,65.66,cathryn@hotmail.com,2015-12-20
Small Silk Bag,"Industrial, Beauty & Baby",47.04,brook@hotmail.com,2015-12-31
Small Wooden Gloves,"Tools, Grocery & Beauty",76.25,nikko_dietrich@hotmail.com,2016-01-03
Mediocre Linen Plate,Jewelery & Outdoors,45.43,franz@gmail.com,2015-12-26
Mediocre Granite Shirt,Computers & Shoes,33.73,reuben@gmail.com,2015-12-23
Synergistic Concrete Watch,Kids & Sports,9.01,layla_reynolds@yahoo.com,2016-01-04
Aerodynamic Bronze Keyboard,"Grocery, Home & Outdoors",9.46,arielle@gmail.com,2016-01-04
Awesome Copper Pants,Movies & Home,58.51,jaunita_gutkowski@yahoo.com,2015-12-18
Lightweight Steel Chair,Automotive,68.14,isai@gmail.com,2015-12-28
Incredible Cotton Table,Games,87.3,osborne.ortiz@hotmail.com,2015-12-19
Aerodynamic Aluminum Keyboard,Garden,80.03,edgardo.runolfsdottir@gmail.com,2016-01-05
Small Wooden Wallet,Jewelery & Tools,26.46,delfina@hotmail.com,2015-12-21
Intelligent Wooden Bag,Jewelery,66.87,darion@hotmail.com,2015-12-14
Practical Wool Shoes,Music,52.69,clint@yahoo.com,2015-12-31
Enormous Paper Lamp,Tools,2.04,imelda@hotmail.com,2016-01-08
Awesome Granite Chair,Games,61.32,jillian@yahoo.com,2015-12-31
Small Wooden Shoes,Electronics,27.76,caandre@yahoo.com,2015-12-29
Practical Leather Wallet,Grocery,38.61,dorothea@gmail.com,2016-01-11
Awesome Plastic Bench,Games & Clothing,78.07,keith.runolfon@yahoo.com,2015-12-19
Rustic Paper Lamp,Movies & Shoes,85.23,carli@hotmail.com,2016-01-02
Sleek Wool Keyboard,Automotive & Movies,25.32,bryana@gmail.com,2016-01-05
Mediocre Cotton Clock,Computers,62.08,kris_muller@hotmail.com,2015-12-30
Heavy Duty Rubber Bench,"Outdoors, Clothing & Sports",40.59,jonatan@yahoo.com,2015-12-15
Intelligent Granite Clock,"Shoes, Beauty & Music",40.59,erick_reinger@yahoo.com,2015-12-17
Practical Bronze Watch,Shoes & Automotive,97.87,eliezer@hotmail.com,2015-12-19
Durable Linen Pants,Automotive & Beauty,66.55,arlene@gmail.com,2016-01-02
Enormous Iron Computer,"Sports, Computers & Clothing",20.81,aniya@gmail.com,2016-01-07
Lightweight Plastic Bag,Tools,27.52,whitney@gmail.com,2016-01-03
Incredible Bronze Coat,"Books, Home & Jewelery",49.65,agustina.abbott@gmail.com,2015-12-18
Mediocre Granite Bench,Music & Beauty,16.17,bill.erdman@yahoo.com,2015-12-16
Aerodynamic Cotton Shirt,Shoes & Clothing,52.88,tiana.romaguera@yahoo.com,2015-12-27
Incredible Wooden Clock,Industrial & Health,16.58,alexandro@gmail.com,2015-12-23
Intelligent Wool Bench,Clothing,14.05,eriberto.ankunding@hotmail.com,2015-12-28
Durable Leather Knife,Clothing,41.69,athena@yahoo.com,2015-12-18
Synergistic Cotton Hat,"Shoes, Home & Computers",19.51,haskell@hotmail.com,2015-12-26
Practical Steel Knife,Electronics & Sports,32.37,erna@gmail.com,2015-12-22
Fantastic Copper Coat,"Garden, Electronics & Health",70.46,kaden_hettinger@hotmail.com,2016-01-11
Gorgeous Iron Plate,"Movies, Outdoors & Books",96.94,arno@gmail.com,2015-12-19
Enormous Plastic Lamp,"Kids, Tools & Industrial",7.52,queen@yahoo.com,2015-12-28
Aerodynamic Marble Wallet,Movies & Outdoors,94.88,maryam.graham@yahoo.com,2016-01-03
Awesome Aluminum Gloves,Garden,10.29,ansel@yahoo.com,2015-12-31
Heavy Duty Bronze Shirt,Computers & Games,89.92,sterling_moen@hotmail.com,2015-12-13
Ergonomic Steel Bag,Outdoors & Books,16.72,blaise.marquardt@yahoo.com,2015-12-29
Rustic Aluminum Coat,"Tools, Music & Industrial",14.03,gaston@gmail.com,2015-12-29
Practical Paper Wallet,Computers & Home,38.0,rocky_oberbrunner@hotmail.com,2015-12-18
Sleek Concrete Shirt,"Music, Games & Sports",23.91,cleo@yahoo.com,2016-01-02
